nbh_num,cat_1,cat_2,price_tier,likes,rating,CAD / ft²·month,Neighbourhood,Population 2016,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),After-tax income: Average amount ($)
86,Café,None,1,88,8.3,3.117619247741122,Roncesvalles,14974,9851,2300,1305,7990,1690,1680,185,40926
87,Deli / Bodega,Cheese Shop,3,111,9.0,2.2548817381738173,High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,755,54872
87,Bakery,None,1,10,7.5,2.2548817381738173,High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,755,54872
87,Café,Diner,1,46,6.0,2.2548817381738173,High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,755,54872
87,Pizza Place,Restaurant,1,2,6.4,2.2548817381738173,High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,755,54872
87,Mexican Restaurant,None,1,7,6.3,2.2548817381738173,High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,755,54872
89,Pizza Place,None,1,38,8.1,4.8,Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,195,55942
89,Taco Place,Gourmet Shop,1,40,7.5,4.8,Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,195,55942
89,Bakery,None,1,6,7.4,4.8,Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,195,55942
89,Italian Restaurant,Spanish Restaurant,2,11,8.5,4.8,Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,195,55942
89,Diner,None,1,10,7.8,4.8,Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,195,55942
